Name,Role,Supervisors,University,Diploma,Year of defense,Title,Position
Clovis Grinand,Co-supervisor,Martial Bernoux,"Montpellier SupAgro, Ecole doctorale GAIA.","Thèse de doctorat, filière EFSA (Écologie Fonctionnelle et Sciences Agronomiques)",2016,Suivi et modélisation des changements d’usage des terres et stocks de carbone dans les sols et les arbres dans le cadre de la REDD+ à Madagascar. Vers des mesures pertinentes localement et cohérentes à large échelle.,Ingénieur d’étude Nitidae. Créateur Nitidae Lab'.
Mario M. Tagliari,Co-supervisor,Nivaldo Peroni,"Université Fédérale de Santa Catarina (UFSC), Florianopolis, Brésil.","PhD in ecology, Ecologia geral, etnoecologia e conservação   ",2021,Distribuição futura da Araucaria angustifolia: aspectos etnoecológicos e populacionais na dinâmica espaço-temporal na paisagem cultural da Floresta Ombrófila Mista.,"Professor na Faculdade Municipal de Meio Ambiente (FAMA), Clevelândia, Paraná, Brésil."
Jeanne Clément,Co-supervisor,Pierre Couteron,"Université de Montpellier, Ecole doctorale GAIA.","Thèse de doctorat, filière EERGP (Ecologie, Evolution, Ressources Génétiques, Paléontologie).",2023,Prédire la vulnérabilité des espèces d’arbres au changement climatique en forêt Guyanaise via l’utilisation de modèles joints de distribution des espèces.,Thèse en cours.
Camille Girard-Tercieux,Co-supervisor,"Raphaël Pélissier, Isabelle Maréchaux","Université de Montpellier, Ecole doctorale GAIA.","Thèse de doctorat, filière EERGP (Ecologie, Evolution, Ressources Génétiques, Paléontologie).",2022,Rôle de la variabilité intra-spécifique dans la coexistence des espèces en forêt tropicale.,Unemployed
Dimitri Justeau-Allaire,Collaborator,"Philippe Birnbaum, Xavier Lorca","Université de Montpellier, Ecole doctorale GAIA.","Thèse de doctorat, filière EERGP (Ecologie, Evolution, Ressources Génétiques, Paléontologie).",2020,"Planification systématique de la conservation basée sur les contraintes, une approche générique et expressive. Application à l'aide à la décision pour la conservation des forêts de Nouvelle-Calédonie.","Post-doctorat, IAC, Nouméa, Nouvelle-Calédonie"
Camille Dezécache,Collaborator,"Bruno Hérault, Jean-Michel Salles","Université de Guyane, Ecole doctorale Diversités, santé et développement en Amazonie.","Thèse de doctorat, Diversités, santé et développement en Amazonie.",2017,Les fondements de REDD+ à l’épreuve des modèles de déforestation: cas d’étude sur le Plateau des Guyanes.,Chercheur à l’IFREMER et maraîcher
Nicolas Labrière,Collaborator,"Yves Laumonier, Bruno Locatelli","AgroParisTech, Ecole doctorale ABIES.",Thèse de doctorat. Sciences de l’environnement.,2015,Services écosystémiques et biodiversité dans les paysages forestiers du nord de Bornéo.,"Post-doctorat, Unité EDB, Université Paul Sabatier, Toulouse, France"
